                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.78343,                0.62796,                 1.2069,                0.86253,                0.84082,                0.89375,                 0.7205,                0.81908,                0.65942,                 1.2586,              0.0004852,              0.0004852,              0.0004852
                     54,                0.76508,                0.62143,                 1.1985,                0.85252,                0.85433,                0.90415,                0.71734,                0.82354,                0.65564,                 1.2637,              0.0004753,              0.0004753,              0.0004753
                     55,                0.77117,                 0.6106,                 1.1948,                0.85348,                0.84946,                0.90007,                0.71746,                0.82252,                0.66847,                 1.2819,              0.0004654,              0.0004654,              0.0004654
                     56,                0.76556,                0.62729,                  1.195,                0.86834,                0.83655,                0.90889,                0.72772,                0.83049,                0.64733,                 1.2715,              0.0004555,              0.0004555,              0.0004555
                     57,                 0.7603,                 0.6027,                  1.193,                0.86887,                0.84354,                0.90459,                0.72194,                0.83196,                0.68101,                  1.273,              0.0004456,              0.0004456,              0.0004456
                     58,                0.75341,                0.59922,                 1.1842,                0.85435,                0.83694,                0.89204,                0.71626,                0.83603,                0.68213,                 1.2812,              0.0004357,              0.0004357,              0.0004357
                     59,                0.75771,                0.60025,                  1.192,                0.89038,                0.83871,                0.90223,                0.72664,                0.82287,                0.64621,                 1.2647,              0.0004258,              0.0004258,              0.0004258
                     60,                0.74242,                 0.5855,                 1.1783,                0.86441,                0.84346,                0.89684,                0.71659,                0.83248,                0.65075,                 1.2704,              0.0004159,              0.0004159,              0.0004159
                     61,                0.74056,                0.58805,                  1.182,                0.86899,                0.85925,                0.90875,                0.72557,                 0.8202,                0.66327,                 1.2725,               0.000406,               0.000406,               0.000406
                     62,                0.73231,                0.56418,                 1.1748,                0.88212,                0.84104,                0.90363,                0.72518,                0.82246,                0.66051,                 1.2716,              0.0003961,              0.0003961,              0.0003961
                     63,                0.72124,                0.56122,                 1.1695,                0.87788,                0.84676,                0.90141,                0.72207,                0.83578,                 0.6639,                 1.2839,              0.0003862,              0.0003862,              0.0003862
                     64,                0.72684,                0.55963,                 1.1724,                0.88721,                0.83872,                0.91453,                0.73597,                0.81645,                0.62777,                 1.2576,              0.0003763,              0.0003763,              0.0003763
                     65,                0.72885,                0.55509,                 1.1742,                0.86605,                0.86557,                0.91196,                0.72602,                0.83082,                0.63463,                 1.2714,              0.0003664,              0.0003664,              0.0003664
                     66,                0.71551,                0.56191,                 1.1696,                0.89632,                0.83097,                0.90701,                 0.7219,                0.83865,                0.65297,                 1.2803,              0.0003565,              0.0003565,              0.0003565
